show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0001,Movie,Stranger Nights,Priya Patel,"Actor B, Actor F",India,"November 24, 2023",1985,G,114 min,Dramas,A gripping tale of love and betrayal.
s0002,Movie,Midnight City 78,Alex Kim,"Actor F, Actor G",,"July 8, 2022",2017,TV-14,60 min,Documentaries,A heartfelt comedy about friendship.
s0003,TV Show,Family Ties,Priya Patel,"Actor A, Actor G, Actor D",India,"June 28, 2020",2018,TV-14,1 Seasons,Sci-Fi & Fantasy,A thrilling chase across continents.
s0004,Movie,The Last Chef 38,Liam O'Connor,"Actor F, Actor A",United States,"November 8, 2019",1985,TV-PG,89 min,Comedies,A documentary on climate change and hope.
s0005,TV Show,Digital Wars,Liam O'Connor,"Actor C, Actor G",Canada,"November 9, 2016",2018,NR,3 Seasons,Action & Adventure,An inspiring journey through the world of tech.
s0006,TV Show,The Last Chef,Priya Patel,"Actor G, Actor A, Actor B",United States,"June 13, 2019",1984,PG-13,10 Seasons,Crime TV Shows,An inspiring journey through the world of tech.
s0007,TV Show,The Last Chef,,"Actor C, Actor B",Canada,"December 18, 2023",1996,NR,10 Seasons,Kids' TV,A thrilling chase across continents.
s0008,TV Show,Quantum Leap 18,,Actor G,United States,"February 5, 2017",2023,R,10 Seasons,Comedies,A documentary on climate change and hope.
s0009,TV Show,Silent Echoes,Chen Wei,Actor F,India,"November 18, 2019",2021,TV-14,2 Seasons,Romantic Movies,A documentary on climate change and hope.
s0010,Movie,Digital Wars 93,Chen Wei,"Actor E, Actor A",France,"November 17, 2024",1992,PG-13,107 min,Documentaries,A thrilling chase across continents.
s0011,Movie,Silent Echoes,Alex Kim,Actor C,France,"April 2, 2018",2016,TV-MA,70 min,Sci-Fi & Fantasy,An investigative look into modern crime.
s0012,Movie,The Long Road,John Smith,"Actor E, Actor B, Actor C, Actor D",Canada,"September 25, 2018",1999,R,145 min,Crime TV Shows,A documentary on climate change and hope.
s0013,TV Show,Cooking with Stars 9,Liam O'Connor,Actor E,,"April 19, 2018",1980,TV-MA,1 Seasons,Action & Adventure,A gripping tale of love and betrayal.
s0014,Movie,Family Ties 31,Chen Wei,"Actor B, Actor E, Actor G, Actor D",Canada,"August 26, 2021",1992,TV-MA,72 min,Kids' TV,A family learns the meaning of sacrifice.
s0015,TV Show,Office Romance,Alex Kim,Actor A,Spain,"December 11, 2016",1995,PG-13,4 Seasons,Sci-Fi & Fantasy,An inspiring journey through the world of tech.
s0016,TV Show,Galaxy Quest,Priya Patel,Actor D,,"February 2, 2023",1980,TV-MA,4 Seasons,Documentaries,A documentary on climate change and hope.
s0017,TV Show,Undercover Agent 52,Alex Kim,"Actor D, Actor A",Spain,"May 26, 2022",1998,R,9 Seasons,Sci-Fi & Fantasy,An inspiring journey through the world of tech.
s0018,Movie,Ocean Secrets 8,Alex Kim,"Actor A, Actor G, Actor E",Australia,"September 28, 2023",1990,TV-MA,125 min,Comedies,An investigative look into modern crime.
s0019,Movie,The Final Episode,Priya Patel,"Actor A, Actor E, Actor B, Actor G",India,"July 22, 2024",2016,G,100 min,Romantic Movies,An inspiring journey through the world of tech.
s0020,TV Show,Lost in Translation,John Smith,"Actor D, Actor C, Actor A",United States,"August 20, 2024",1986,TV-MA,9 Seasons,Action & Adventure,A thrilling chase across continents.
s0021,TV Show,Hidden Truths,Maria Lopez,"Actor C, Actor G",United Kingdom,"August 27, 2023",1999,G,9 Seasons,Dramas,A heartfelt comedy about friendship.
s0022,TV Show,Cooking with Stars,John Smith,"Actor A, Actor G, Actor E",United Kingdom,"May 10, 2024",1993,NR,6 Seasons,Action & Adventure,A heartfelt comedy about friendship.
s0023,TV Show,Memoirs,Alex Kim,Actor F,Spain,"May 2, 2015",2001,TV-PG,3 Seasons,Romantic Movies,An inspiring journey through the world of tech.
s0024,TV Show,The Long Road,Alex Kim,Actor A,United Kingdom,"September 2, 2020",2017,G,3 Seasons,Kids' TV,An inspiring journey through the world of tech.
s0025,Movie,Ocean Secrets,Alex Kim,"Actor B, Actor F, Actor G",India,"June 25, 2023",2006,G,79 min,Action & Adventure,An investigative look into modern crime.
s0026,Movie,Galaxy Quest,Alex Kim,"Actor F, Actor C",Spain,"November 28, 2018",1997,PG-13,149 min,Comedies,A documentary on climate change and hope.
s0027,Movie,Undercover Agent 59,Liam O'Connor,"Actor G, Actor B, Actor F",United States,"November 7, 2021",2001,TV-14,68 min,Romantic Movies,A family learns the meaning of sacrifice.
s0028,TV Show,The Long Road,Alex Kim,Actor C,United Kingdom,"October 9, 2015",1986,G,7 Seasons,Crime TV Shows,A heartfelt comedy about friendship.
s0029,TV Show,Office Romance,Maria Lopez,"Actor E, Actor B, Actor C, Actor A",Spain,"January 17, 2023",2023,NR,4 Seasons,Crime TV Shows,A documentary on climate change and hope.
s0030,Movie,Family Ties,Maria Lopez,"Actor E, Actor C, Actor D",Germany,"July 23, 2019",2015,PG-13,84 min,Kids' TV,A heartfelt comedy about friendship.
s0031,TV Show,Galaxy Quest,Chen Wei,"Actor E, Actor A, Actor C, Actor G",Canada,"July 26, 2024",2018,NR,6 Seasons,Sci-Fi & Fantasy,A documentary on climate change and hope.
s0032,TV Show,Midnight City,John Smith,Actor C,,"November 21, 2024",2001,TV-MA,4 Seasons,Romantic Movies,An inspiring journey through the world of tech.
s0033,Movie,Hidden Truths 32,,Actor D,Spain,"November 19, 2018",2024,R,123 min,Kids' TV,An inspiring journey through the world of tech.
s0034,Movie,Stranger Nights,Maria Lopez,"Actor B, Actor G, Actor E, Actor D",United States,"September 8, 2016",2009,PG-13,119 min,Crime TV Shows,An investigative look into modern crime.
s0035,TV Show,Silent Echoes,Fatima Zahra,"Actor B, Actor F, Actor D, Actor E",France,"April 27, 2019",2013,R,4 Seasons,Romantic Movies,A documentary on climate change and hope.
s0036,Movie,Ocean Secrets 43,Liam O'Connor,Actor B,United Kingdom,"April 13, 2017",1993,TV-MA,113 min,Kids' TV,A family learns the meaning of sacrifice.
s0037,TV Show,Office Romance 54,Fatima Zahra,Actor G,Spain,"August 1, 2020",1999,TV-PG,7 Seasons,Kids' TV,A thrilling chase across continents.
s0038,Movie,Undercover Agent 56,,Actor D,Germany,"November 22, 2021",1990,TV-PG,119 min,Documentaries,A thrilling chase across continents.
s0039,Movie,The Last Chef,Alex Kim,Actor F,Spain,"March 28, 2022",1991,TV-MA,93 min,Kids' TV,A family learns the meaning of sacrifice.
s0040,Movie,Digital Wars,Fatima Zahra,"Actor G, Actor D, Actor C",India,"August 1, 2023",1983,TV-14,88 min,Comedies,An investigative look into modern crime.
s0041,Movie,Stranger Nights,Priya Patel,Actor E,United Kingdom,"April 5, 2022",2022,TV-MA,132 min,Action & Adventure,A documentary on climate change and hope.
s0042,TV Show,Quantum Leap 78,Maria Lopez,"Actor C, Actor A",United States,"May 19, 2021",2005,NR,4 Seasons,Comedies,A thrilling chase across continents.
s0043,Movie,Cooking with Stars,Chen Wei,Actor G,United States,"June 18, 2021",2022,TV-14,68 min,Crime TV Shows,A gripping tale of love and betrayal.
s0044,TV Show,Undercover Agent 47,,"Actor D, Actor B",,"November 9, 2024",2014,TV-PG,8 Seasons,Sci-Fi & Fantasy,A documentary on climate change and hope.
s0045,TV Show,Family Ties,Maria Lopez,"Actor D, Actor B, Actor G",Spain,"June 1, 2022",2000,PG-13,8 Seasons,Action & Adventure,A family learns the meaning of sacrifice.
s0046,TV Show,Family Ties,Chen Wei,Actor E,Canada,"February 8, 2021",2011,G,4 Seasons,Sci-Fi & Fantasy,A heartfelt comedy about friendship.
s0047,TV Show,Digital Wars,Maria Lopez,"Actor B, Actor D, Actor G",France,"November 19, 2020",2010,G,9 Seasons,Crime TV Shows,A documentary on climate change and hope.
s0048,TV Show,Quantum Leap,Chen Wei,"Actor C, Actor B, Actor A",Canada,"June 4, 2023",2024,PG-13,4 Seasons,Action & Adventure,A heartfelt comedy about friendship.
s0049,TV Show,Crime Line,Chen Wei,Actor G,Canada,"May 8, 2020",1991,TV-14,1 Seasons,Documentaries,A family learns the meaning of sacrifice.
s0050,Movie,Love & Algorithms,John Smith,"Actor A, Actor G, Actor E, Actor C",Australia,"August 15, 2020",1991,TV-MA,92 min,Sci-Fi & Fantasy,A gripping tale of love and betrayal.
s0051,Movie,The Last Chef,Alex Kim,"Actor B, Actor E",France,"February 8, 2016",2015,TV-PG,113 min,Action & Adventure,An investigative look into modern crime.
s0052,TV Show,Digital Wars,Chen Wei,"Actor C, Actor E, Actor F, Actor A",India,"April 21, 2018",1996,NR,2 Seasons,Documentaries,An inspiring journey through the world of tech.
s0053,Movie,The Long Road 1,Fatima Zahra,"Actor F, Actor E, Actor D, Actor C",United States,"April 10, 2019",2024,TV-PG,118 min,Comedies,A heartfelt comedy about friendship.
s0054,Movie,Crime Line,Priya Patel,"Actor A, Actor E, Actor B, Actor F",France,"March 3, 2015",1990,TV-PG,99 min,Romantic Movies,A documentary on climate change and hope.
s0055,Movie,Digital Wars,Fatima Zahra,"Actor E, Actor G, Actor D",Australia,"February 20, 2015",2007,NR,101 min,Romantic Movies,A gripping tale of love and betrayal.
s0056,Movie,Lost in Translation,Alex Kim,"Actor E, Actor A, Actor B",Australia,"September 21, 2022",1997,PG-13,134 min,Kids' TV,A heartfelt comedy about friendship.
s0057,TV Show,The Final Episode,Fatima Zahra,"Actor C, Actor F, Actor A",United Kingdom,"June 14, 2022",1998,NR,7 Seasons,Dramas,A documentary on climate change and hope.
s0058,Movie,Family Ties,Maria Lopez,"Actor G, Actor E, Actor A, Actor D",Spain,"January 7, 2023",2003,G,123 min,Sci-Fi & Fantasy,An investigative look into modern crime.
s0059,Movie,Midnight City,John Smith,"Actor D, Actor F, Actor G",India,"January 21, 2024",1995,NR,80 min,Romantic Movies,A thrilling chase across continents.
s0060,Movie,The Long Road,Priya Patel,Actor D,India,"November 27, 2017",2011,NR,97 min,Romantic Movies,A documentary on climate change and hope.
s0061,TV Show,Undercover Agent 71,John Smith,"Actor B, Actor E, Actor F, Actor G",India,"May 25, 2021",2001,TV-PG,9 Seasons,Romantic Movies,An investigative look into modern crime.
s0062,Movie,Ocean Secrets,,"Actor D, Actor E",Australia,"June 11, 2023",2014,R,118 min,Crime TV Shows,An investigative look into modern crime.
s0063,Movie,Lost in Translation,Priya Patel,"Actor A, Actor C, Actor D, Actor E",Spain,"November 26, 2017",2011,TV-MA,76 min,Crime TV Shows,An investigative look into modern crime.
s0064,Movie,Digital Wars 59,Alex Kim,"Actor D, Actor F",United Kingdom,"February 16, 2019",2001,G,148 min,Kids' TV,A heartfelt comedy about friendship.
s0065,Movie,Family Ties,Fatima Zahra,"Actor F, Actor G, Actor D",,"January 20, 2016",1995,NR,147 min,Romantic Movies,An inspiring journey through the world of tech.
s0066,Movie,Office Romance,Maria Lopez,"Actor B, Actor F, Actor C, Actor A",United States,"June 26, 2015",1998,TV-14,107 min,Kids' TV,An inspiring journey through the world of tech.
s0067,Movie,Memoirs,John Smith,"Actor B, Actor A",Spain,"October 22, 2018",2011,G,78 min,Action & Adventure,A documentary on climate change and hope.
s0068,TV Show,Digital Wars,Alex Kim,"Actor C, Actor F, Actor E, Actor B",India,"August 12, 2024",1999,NR,7 Seasons,Romantic Movies,A documentary on climate change and hope.
s0069,TV Show,Midnight City,,Actor B,Spain,"October 12, 2024",1998,NR,5 Seasons,Dramas,An investigative look into modern crime.
s0070,TV Show,Crime Line 88,Alex Kim,"Actor G, Actor C, Actor B, Actor F",Canada,"November 7, 2024",1996,NR,3 Seasons,Comedies,A heartfelt comedy about friendship.
s0071,Movie,Ocean Secrets,Alex Kim,"Actor F, Actor B, Actor A",France,"June 24, 2021",1991,PG-13,76 min,Crime TV Shows,A thrilling chase across continents.
s0072,TV Show,Galaxy Quest,,"Actor F, Actor C, Actor A",Australia,"February 5, 2018",2023,NR,7 Seasons,Crime TV Shows,A gripping tale of love and betrayal.
s0073,TV Show,Stranger Nights,Maria Lopez,"Actor C, Actor F, Actor G, Actor D",Germany,"February 22, 2018",2010,TV-MA,10 Seasons,Crime TV Shows,A thrilling chase across continents.
s0074,Movie,The Final Episode,,"Actor F, Actor D, Actor A",United Kingdom,"January 2, 2019",2011,TV-MA,72 min,Action & Adventure,A thrilling chase across continents.
s0075,Movie,The Last Chef,Fatima Zahra,"Actor D, Actor F",India,"August 20, 2021",1997,TV-MA,148 min,Crime TV Shows,An inspiring journey through the world of tech.
s0076,TV Show,Digital Wars,Liam O'Connor,Actor F,Germany,"September 21, 2020",1983,R,5 Seasons,Action & Adventure,A gripping tale of love and betrayal.
s0077,TV Show,The Final Episode,Alex Kim,Actor G,Germany,"April 5, 2024",1993,TV-MA,9 Seasons,Action & Adventure,A thrilling chase across continents.
s0078,Movie,Lost in Translation,John Smith,Actor C,United Kingdom,"March 18, 2019",1991,TV-MA,144 min,Dramas,An inspiring journey through the world of tech.
s0079,Movie,Quantum Leap,Priya Patel,"Actor A, Actor B, Actor C",United States,"March 24, 2021",2013,TV-MA,68 min,Sci-Fi & Fantasy,A documentary on climate change and hope.
s0080,TV Show,Memoirs,,"Actor E, Actor A",,"May 15, 2015",1983,R,7 Seasons,Kids' TV,A heartfelt comedy about friendship.
s0081,Movie,Undercover Agent,,Actor A,Germany,"October 5, 2016",1988,TV-14,139 min,Crime TV Shows,A documentary on climate change and hope.
s0082,TV Show,Digital Wars,Fatima Zahra,Actor G,India,"November 21, 2023",1993,R,8 Seasons,Action & Adventure,A documentary on climate change and hope.
s0083,TV Show,Digital Wars,Maria Lopez,"Actor D, Actor C, Actor F",Germany,"March 22, 2022",1984,TV-MA,2 Seasons,Comedies,A documentary on climate change and hope.
s0084,Movie,Quantum Leap,Alex Kim,"Actor F, Actor A, Actor D",Germany,"November 25, 2021",1983,TV-14,136 min,Romantic Movies,A family learns the meaning of sacrifice.
s0085,Movie,Riverbend,John Smith,"Actor B, Actor A, Actor C, Actor E",India,"May 19, 2018",2007,TV-PG,131 min,Dramas,A thrilling chase across continents.
s0086,TV Show,Stranger Nights 90,Chen Wei,"Actor C, Actor A, Actor B",United Kingdom,"October 22, 2021",1984,PG-13,1 Seasons,Comedies,A heartfelt comedy about friendship.
s0087,Movie,The Last Chef,Liam O'Connor,"Actor C, Actor G",Germany,"October 20, 2016",1983,PG-13,80 min,Dramas,A heartfelt comedy about friendship.
s0088,Movie,Crime Line,Fatima Zahra,"Actor E, Actor D, Actor F, Actor C",Canada,"September 4, 2020",2007,TV-MA,96 min,Sci-Fi & Fantasy,A thrilling chase across continents.
s0089,TV Show,Love & Algorithms 77,Alex Kim,Actor B,France,"April 25, 2017",1996,TV-14,6 Seasons,Comedies,A gripping tale of love and betrayal.
s0090,TV Show,Office Romance 49,Priya Patel,"Actor A, Actor D, Actor G",Spain,"January 15, 2016",2000,G,7 Seasons,Kids' TV,A heartfelt comedy about friendship.
s0091,TV Show,Ocean Secrets 3,Liam O'Connor,"Actor G, Actor E",Australia,"December 12, 2016",2007,TV-PG,2 Seasons,Action & Adventure,A documentary on climate change and hope.
s0092,TV Show,Memoirs 40,Liam O'Connor,"Actor C, Actor B",India,"September 21, 2016",2013,G,4 Seasons,Crime TV Shows,A family learns the meaning of sacrifice.
s0093,Movie,Lost in Translation 33,Priya Patel,"Actor E, Actor B",India,"March 25, 2022",2009,TV-PG,132 min,Sci-Fi & Fantasy,A heartfelt comedy about friendship.
s0094,TV Show,Family Ties 9,,"Actor F, Actor C, Actor G, Actor A",Germany,"September 3, 2019",2009,R,1 Seasons,Dramas,A family learns the meaning of sacrifice.
s0095,TV Show,The Final Episode,Maria Lopez,"Actor D, Actor E, Actor F, Actor A",Australia,"October 21, 2018",2000,G,8 Seasons,Documentaries,A gripping tale of love and betrayal.
s0096,TV Show,Cooking with Stars,Liam O'Connor,Actor E,United Kingdom,"January 8, 2022",2008,G,9 Seasons,Documentaries,A family learns the meaning of sacrifice.
s0097,TV Show,Ocean Secrets,Liam O'Connor,Actor G,Germany,"February 11, 2016",2015,NR,7 Seasons,Romantic Movies,A family learns the meaning of sacrifice.
s0098,Movie,Family Ties 85,John Smith,"Actor C, Actor F, Actor D",United Kingdom,"October 23, 2016",1999,G,108 min,Crime TV Shows,An investigative look into modern crime.
s0099,Movie,Memoirs 86,Fatima Zahra,"Actor A, Actor C, Actor F",United Kingdom,"April 11, 2022",1992,PG-13,77 min,Documentaries,A gripping tale of love and betrayal.
s0100,TV Show,Cooking with Stars,Alex Kim,"Actor G, Actor E, Actor B",Spain,"March 6, 2017",2024,TV-PG,10 Seasons,Documentaries,A heartfelt comedy about friendship.
s0101,TV Show,Love & Algorithms,Priya Patel,"Actor E, Actor C, Actor D, Actor B",,"April 10, 2022",1992,TV-14,10 Seasons,Sci-Fi & Fantasy,A documentary on climate change and hope.
s0102,TV Show,The Last Chef,Fatima Zahra,"Actor G, Actor B",United Kingdom,"May 2, 2022",2003,G,2 Seasons,Comedies,A family learns the meaning of sacrifice.
s0103,Movie,Galaxy Quest,John Smith,"Actor A, Actor B, Actor D, Actor C",United States,"July 2, 2021",2012,TV-14,90 min,Kids' TV,A gripping tale of love and betrayal.
s0104,TV Show,Lost in Translation 13,Liam O'Connor,"Actor B, Actor A",France,"August 23, 2017",2010,R,10 Seasons,Dramas,A gripping tale of love and betrayal.
s0105,Movie,Crime Line 20,Fatima Zahra,Actor G,France,"April 10, 2016",1983,PG-13,113 min,Sci-Fi & Fantasy,A gripping tale of love and betrayal.
s0106,Movie,Undercover Agent,Alex Kim,"Actor F, Actor B",France,"July 1, 2024",2002,PG-13,133 min,Kids' TV,An inspiring journey through the world of tech.
s0107,Movie,Memoirs,Maria Lopez,Actor D,Australia,"January 21, 2021",2003,TV-14,62 min,Crime TV Shows,An investigative look into modern crime.
s0108,Movie,Quantum Leap 85,Maria Lopez,"Actor B, Actor A, Actor C",,"June 27, 2017",2023,R,149 min,Sci-Fi & Fantasy,A heartfelt comedy about friendship.
s0109,Movie,Hidden Truths 59,Alex Kim,"Actor B, Actor A, Actor G",United States,"June 10, 2023",2005,TV-PG,129 min,Sci-Fi & Fantasy,A family learns the meaning of sacrifice.
s0110,Movie,Midnight City,Alex Kim,"Actor C, Actor A, Actor G",Spain,"July 24, 2022",2004,TV-14,83 min,Sci-Fi & Fantasy,A heartfelt comedy about friendship.
s0111,TV Show,Quantum Leap,Chen Wei,Actor F,Spain,"February 14, 2024",1991,G,5 Seasons,Crime TV Shows,A gripping tale of love and betrayal.
s0112,Movie,Family Ties,Chen Wei,"Actor E, Actor F, Actor D, Actor B",Australia,"June 15, 2015",2002,G,115 min,Romantic Movies,A heartfelt comedy about friendship.
s0113,Movie,The Final Episode,Fatima Zahra,"Actor E, Actor F, Actor B",United States,"March 28, 2024",2023,TV-PG,116 min,Dramas,An inspiring journey through the world of tech.
s0114,Movie,Lost in Translation,Liam O'Connor,"Actor D, Actor E, Actor A",United Kingdom,"November 15, 2020",2003,R,69 min,Documentaries,A thrilling chase across continents.
s0115,TV Show,The Last Chef,Chen Wei,"Actor A, Actor G",United Kingdom,"August 17, 2021",2015,TV-MA,5 Seasons,Romantic Movies,A heartfelt comedy about friendship.
s0116,TV Show,Midnight City,Chen Wei,"Actor B, Actor A, Actor G, Actor F",Australia,"March 23, 2022",1985,TV-PG,6 Seasons,Crime TV Shows,A heartfelt comedy about friendship.
s0117,Movie,The Long Road,Chen Wei,"Actor F, Actor G",United Kingdom,"June 17, 2018",1987,PG-13,77 min,Action & Adventure,An investigative look into modern crime.
s0118,TV Show,Stranger Nights,Liam O'Connor,"Actor G, Actor E, Actor B, Actor A",India,"May 13, 2022",2013,R,7 Seasons,Comedies,An inspiring journey through the world of tech.
s0119,TV Show,The Final Episode,Liam O'Connor,"Actor G, Actor E",United Kingdom,"March 14, 2023",1983,TV-PG,2 Seasons,Documentaries,A family learns the meaning of sacrifice.
s0120,Movie,Galaxy Quest,Priya Patel,"Actor E, Actor C, Actor A",France,"April 21, 2023",1997,PG-13,140 min,Romantic Movies,A thrilling chase across continents.
s0121,Movie,Memoirs,John Smith,"Actor F, Actor E",Germany,"October 2, 2015",1985,TV-MA,142 min,Romantic Movies,A heartfelt comedy about friendship.
s0122,Movie,Riverbend,Alex Kim,"Actor F, Actor E, Actor C, Actor G",Australia,"April 26, 2021",1999,R,69 min,Dramas,An inspiring journey through the world of tech.
s0123,TV Show,Office Romance,Priya Patel,"Actor E, Actor B, Actor C",Germany,"December 28, 2020",2005,PG-13,6 Seasons,Comedies,A family learns the meaning of sacrifice.
s0124,Movie,Digital Wars 58,Priya Patel,"Actor A, Actor G",France,"July 28, 2024",2006,PG-13,80 min,Crime TV Shows,A thrilling chase across continents.
s0125,TV Show,Midnight City,,"Actor D, Actor C, Actor G, Actor A",India,"July 17, 2022",1995,PG-13,10 Seasons,Crime TV Shows,A gripping tale of love and betrayal.
s0126,Movie,Ocean Secrets,,"Actor E, Actor A, Actor F",Spain,"March 9, 2020",2005,TV-14,65 min,Kids' TV,A gripping tale of love and betrayal.
s0127,Movie,Quantum Leap,Maria Lopez,"Actor E, Actor D, Actor G, Actor C",India,"March 4, 2021",2003,TV-PG,103 min,Crime TV Shows,An investigative look into modern crime.
s0128,Movie,Midnight City,Fatima Zahra,Actor A,United States,"March 23, 2020",2010,G,118 min,Documentaries,A thrilling chase across continents.
s0129,Movie,Family Ties,Liam O'Connor,"Actor D, Actor E",France,"October 11, 2023",2012,G,122 min,Romantic Movies,A documentary on climate change and hope.
s0130,Movie,Quantum Leap,Maria Lopez,"Actor E, Actor C, Actor A, Actor D",France,"November 26, 2024",2016,PG-13,66 min,Sci-Fi & Fantasy,An inspiring journey through the world of tech.
s0131,TV Show,Hidden Truths,Priya Patel,Actor E,India,"April 1, 2022",2000,R,3 Seasons,Kids' TV,A heartfelt comedy about friendship.
s0132,Movie,Office Romance,,Actor F,United Kingdom,"September 7, 2023",2000,NR,121 min,Kids' TV,A family learns the meaning of sacrifice.
s0133,Movie,Digital Wars,Liam O'Connor,"Actor F, Actor G, Actor C",Australia,"April 8, 2019",2015,TV-14,88 min,Romantic Movies,An investigative look into modern crime.
s0134,TV Show,Midnight City,,"Actor D, Actor C, Actor E",France,"May 4, 2024",2023,G,7 Seasons,Kids' TV,An investigative look into modern crime.
s0135,TV Show,Hidden Truths,Chen Wei,Actor C,Australia,"November 9, 2022",1993,PG-13,9 Seasons,Romantic Movies,A thrilling chase across continents.
s0136,TV Show,Hidden Truths 95,Priya Patel,"Actor A, Actor F",,"April 21, 2018",1983,TV-MA,7 Seasons,Crime TV Shows,A heartfelt comedy about friendship.
s0137,TV Show,Cooking with Stars,John Smith,Actor E,United Kingdom,"July 21, 2022",2010,NR,4 Seasons,Romantic Movies,A family learns the meaning of sacrifice.
s0138,TV Show,Love & Algorithms,Maria Lopez,"Actor E, Actor F",United States,"March 14, 2017",1982,TV-PG,7 Seasons,Sci-Fi & Fantasy,An inspiring journey through the world of tech.
s0139,TV Show,Love & Algorithms 73,Maria Lopez,"Actor C, Actor D, Actor E",,"August 5, 2023",2009,TV-14,4 Seasons,Comedies,A family learns the meaning of sacrifice.
s0140,Movie,Digital Wars,John Smith,Actor F,Germany,"May 19, 2018",1991,G,141 min,Kids' TV,An investigative look into modern crime.
s0141,TV Show,Memoirs,Fatima Zahra,Actor B,United Kingdom,"August 11, 2018",1980,TV-14,7 Seasons,Action & Adventure,A documentary on climate change and hope.
s0142,TV Show,Family Ties,Alex Kim,"Actor F, Actor C, Actor B",United States,"November 4, 2022",1999,PG-13,7 Seasons,Romantic Movies,A heartfelt comedy about friendship.
s0143,Movie,Ocean Secrets,Priya Patel,"Actor B, Actor D",United Kingdom,"August 24, 2024",2003,R,149 min,Sci-Fi & Fantasy,An investigative look into modern crime.
s0144,Movie,Lost in Translation,Maria Lopez,"Actor E, Actor F, Actor C, Actor A",India,"January 27, 2023",2012,PG-13,133 min,Documentaries,An inspiring journey through the world of tech.
s0145,TV Show,Memoirs,Priya Patel,"Actor A, Actor E, Actor D, Actor G",Australia,"March 17, 2021",2009,G,1 Seasons,Sci-Fi & Fantasy,A heartfelt comedy about friendship.
s0146,TV Show,Stranger Nights,Alex Kim,"Actor E, Actor A",United States,"July 12, 2016",2014,TV-MA,2 Seasons,Sci-Fi & Fantasy,A gripping tale of love and betrayal.
s0147,TV Show,Office Romance 18,Fatima Zahra,"Actor D, Actor G, Actor F",Spain,"February 22, 2023",1988,NR,6 Seasons,Comedies,An inspiring journey through the world of tech.
s0148,TV Show,Memoirs 29,Alex Kim,Actor C,Australia,"November 24, 2023",2007,G,7 Seasons,Action & Adventure,An inspiring journey through the world of tech.
s0149,TV Show,Quantum Leap 25,Maria Lopez,Actor G,Spain,"October 25, 2015",1995,PG-13,2 Seasons,Comedies,A thrilling chase across continents.
s0150,Movie,Digital Wars,Alex Kim,"Actor F, Actor A",Spain,"August 8, 2023",1993,TV-PG,67 min,Documentaries,A thrilling chase across continents.
